CSI amplitudes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,state
1,14,14,13,12,11,9,9,8,7,7,8,8,9,10,10,10,11,11,11,12,11,11,11,11,11,11,10,10,10,10,11,11,10,10,10,11,10,10,10,11,12,12,12,12,13,13,14,13,14,15,16,16,0
2,17,17,15,14,12,12,10,10,8,9,9,8,10,10,12,11,12,12,11,13,13,12,11,13,13,12,12,11,10,12,11,12,11,13,14,9,11,12,12,12,11,12,12,13,14,13,15,15,15,16,17,17,0
3,22,20,14,17,12,13,12,9,10,8,9,10,11,11,12,13,13,12,13,15,14,14,14,14,14,13,12,14,13,12,13,14,14,13,12,12,13,13,14,13,13,14,14,14,16,15,16,18,18,18,19,19,0
4,18,16,15,14,12,11,10,7,8,7,8,8,8,10,9,11,11,11,11,13,11,12,13,12,11,13,12,11,12,12,11,13,11,11,11,11,11,12,11,12,12,13,14,14,14,15,16,15,17,17,18,20,0
5,18,18,14,14,13,10,10,9,7,7,8,8,9,9,10,10,12,12,12,13,13,13,13,13,13,12,12,13,12,12,12,12,12,13,11,11,12,11,12,12,13,13,13,14,15,15,16,15,16,17,18,19,0
6,16,16,15,13,12,11,10,8,7,6,6,6,7,8,9,8,11,11,11,11,11,11,11,11,11,11,11,11,10,10,12,13,12,12,12,9,11,10,11,11,11,11,13,12,12,12,13,14,14,16,17,18,0
7,13,12,11,10,9,7,7,5,5,5,5,6,6,7,7,7,7,8,8,8,8,8,8,9,8,9,8,8,8,8,9,8,8,8,9,9,8,8,8,8,8,9,9,10,10,10,11,11,11,12,13,13,0
8,14,14,13,13,11,9,9,7,6,6,6,6,7,8,9,9,10,9,10,9,9,10,9,10,9,9,10,9,10,9,10,10,10,9,9,9,10,10,9,11,10,11,12,13,13,12,14,13,16,13,17,17,0
9,15,14,12,11,10,8,7,7,3,3,4,5,5,5,7,7,7,8,8,9,9,9,8,8,8,8,8,9,8,8,9,9,8,9,8,8,8,8,8,10,9,10,10,10,11,11,12,12,13,13,15,16,0
10,16,15,16,13,12,11,9,7,6,6,5,6,6,8,9,10,9,9,9,9,10,9,9,10,10,10,10,11,10,10,10,9,11,11,10,11,11,10,11,10,11,11,12,13,13,13,15,14,15,16,16,17,0
11,14,13,12,11,9,9,6,6,5,5,4,5,6,6,7,8,8,8,9,9,9,9,9,10,9,10,9,10,10,9,11,10,11,11,10,10,11,12,11,11,12,13,15,13,14,14,16,14,17,17,17,18,0
12,12,12,12,11,11,7,5,5,4,5,5,5,6,7,7,8,7,8,8,8,8,9,8,9,8,9,9,10,10,10,10,10,10,10,11,10,11,11,11,11,12,12,13,13,14,14,15,16,17,17,18,18,0
13,15,14,13,11,11,9,8,6,5,4,4,5,6,7,7,8,8,9,9,9,9,8,8,9,10,9,10,11,9,10,11,10,11,10,11,11,12,10,12,12,13,13,13,13,15,15,17,17,17,17,18,19,0
14,17,16,14,15,11,9,9,7,4,6,5,7,4,9,7,10,9,9,10,10,12,10,9,11,9,9,9,12,10,12,12,13,11,13,13,14,14,13,13,14,14,15,15,17,17,17,19,17,20,22,22,24,0
15,9,9,8,7,6,5,4,4,2,3,3,4,4,5,5,6,6,6,7,7,7,7,6,7,7,6,6,7,7,7,8,7,7,7,8,8,8,8,8,8,9,10,10,10,11,11,12,12,13,13,14,15,0
16,11,10,10,9,8,7,6,5,4,4,4,4,3,4,4,6,5,7,7,6,8,7,7,6,7,6,7,8,7,8,10,8,8,9,10,6,9,8,9,9,9,10,11,11,11,12,12,14,14,14,15,15,0
17,11,10,10,9,7,6,5,4,3,3,4,4,5,5,5,6,6,6,7,6,7,6,7,6,8,8,7,9,8,9,9,9,9,8,9,8,9,10,10,11,10,11,12,12,12,13,13,13,15,15,16,17,0
18,15,14,13,12,10,9,8,6,5,5,5,6,7,7,8,9,9,9,9,9,10,10,10,9,10,11,11,11,11,12,11,11,12,11,12,12,12,12,13,13,14,15,15,15,16,16,18,17,18,19,20,21,0
19,13,13,11,11,9,8,7,6,5,4,5,6,6,7,8,8,8,9,9,9,8,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,13,13,13,14,14,14,15,15,17,17,18,19,19,20,0
20,13,13,11,10,9,7,6,4,4,4,4,4,4,5,7,7,8,7,8,8,8,8,9,8,8,9,9,9,9,9,9,10,9,10,10,10,10,11,11,11,12,13,13,14,15,14,16,16,16,18,18,19,0
21,11,10,10,9,8,8,6,5,4,4,4,4,4,5,5,6,7,7,8,7,8,7,7,7,7,8,8,7,8,8,9,9,9,9,9,10,10,10,10,10,11,11,12,12,13,13,14,14,15,15,16,17,0
22,14,12,9,7,8,5,6,5,3,3,4,4,4,6,5,7,6,7,6,6,7,6,8,7,8,8,8,8,8,8,8,8,9,8,8,8,9,10,9,11,11,11,12,12,12,13,13,13,15,15,16,16,0
23,12,12,10,10,9,7,5,5,4,4,4,4,5,6,6,7,7,7,7,7,7,7,8,9,9,8,8,9,9,9,9,9,9,9,9,9,10,10,10,11,11,12,13,13,13,13,14,14,16,16,16,17,0
24,14,13,12,11,9,8,7,5,5,5,4,5,7,6,7,8,9,9,10,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,13,12,12,13,13,15,15,16,16,16,17,17,18,18,20,21,0
25,14,13,12,11,9,8,7,5,6,5,5,6,6,7,8,8,9,9,9,9,9,9,10,9,10,10,10,10,11,11,11,11,11,11,12,11,13,12,12,13,13,15,15,15,15,15,17,16,17,19,20,20,0
26,12,11,10,10,9,7,6,5,4,4,4,4,5,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,11,12,11,12,13,14,14,13,15,15,16,17,17,18,0
27,16,16,14,12,12,10,8,6,7,6,6,7,8,9,8,10,10,10,10,11,11,11,10,10,11,12,11,13,11,11,13,13,14,13,9,13,14,14,14,14,15,16,17,16,16,17,18,18,20,20,21,22,0
28,13,13,11,10,9,7,6,5,4,4,4,4,4,5,6,7,8,8,8,8,8,8,9,8,7,9,8,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,12,13,13,14,14,15,16,16,16,0
29,14,14,12,12,10,9,7,6,6,6,5,5,7,8,8,8,8,9,9,9,9,10,9,10,10,10,10,10,11,11,12,12,11,11,11,11,13,12,13,13,12,15,15,15,15,16,17,17,18,18,20,20,0
30,13,12,11,10,10,8,6,6,4,5,5,5,8,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,11,10,10,11,11,11,11,12,12,13,13,14,14,15,15,16,15,17,17,18,18,0
31,12,11,10,9,10,8,8,6,5,5,4,6,5,6,6,7,7,7,9,8,8,8,8,8,8,9,8,9,9,9,9,9,9,9,8,9,10,10,10,11,10,11,11,12,13,13,13,13,13,14,15,16,0
32,13,12,11,10,9,7,6,5,5,4,4,5,5,6,6,7,7,8,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,9,9,9,10,11,11,12,11,12,13,13,14,14,14,15,16,16,17,16,0
33,12,12,11,11,9,8,7,6,5,4,4,5,5,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,11,11,10,11,11,11,12,13,13,14,14,14,15,15,16,16,0
34,12,11,11,11,9,8,6,5,5,4,4,5,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,11,11,11,11,12,12,13,13,13,14,14,14,15,16,16,0
35,15,14,13,13,9,9,7,6,5,5,6,5,7,7,7,8,8,8,10,9,9,9,9,9,10,9,10,10,11,10,11,11,11,12,11,11,12,12,13,13,13,14,14,15,15,15,16,17,17,18,18,19,0
36,12,12,11,9,8,8,6,5,5,3,4,5,5,4,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,8,9,10,9,9,9,8,10,11,11,11,11,12,12,13,13,14,13,13,13,16,16,18,0
37,13,13,12,11,9,9,8,5,5,5,5,6,5,6,6,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,12,12,13,13,14,14,14,15,15,15,16,17,18,0
38,13,12,11,10,9,7,7,5,5,4,5,5,6,6,7,8,8,8,8,9,9,9,9,9,9,9,9,11,10,11,10,11,11,11,11,11,11,12,11,12,13,12,14,15,15,15,16,16,17,17,17,18,0
39,13,12,11,10,9,8,7,6,4,5,4,5,6,7,7,7,8,8,9,10,9,9,9,9,9,9,9,9,11,10,10,11,11,11,11,11,11,12,12,13,13,13,13,15,15,16,16,16,17,17,18,19,0
40,13,12,12,10,9,9,7,7,5,5,5,6,6,6,7,7,7,8,9,9,8,8,8,9,9,9,9,10,9,9,10,11,10,9,11,9,10,11,11,11,12,13,13,14,14,14,15,14,15,17,17,17,0
41,15,14,12,12,10,9,8,7,6,6,5,7,6,8,8,9,9,9,10,11,10,10,10,10,11,11,11,11,11,11,11,11,12,13,13,12,13,13,13,14,14,15,15,16,16,16,17,18,18,18,19,19,0
42,13,11,11,10,10,8,7,5,5,4,4,6,5,6,7,7,7,7,8,8,9,9,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,12,12,12,13,13,14,14,14,15,16,17,17,18,0
43,13,13,11,9,9,8,6,6,4,4,5,4,5,6,6,6,7,7,7,7,7,8,8,7,8,8,8,8,7,9,8,9,9,9,10,9,9,10,11,11,11,11,12,12,13,12,13,13,14,14,15,16,0
44,14,13,13,12,10,9,7,7,5,5,6,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,10,11,11,11,11,11,12,12,14,13,13,13,13,14,14,15,15,15,16,16,16,17,19,18,19,19,0
45,12,12,11,10,9,7,6,6,5,5,4,4,6,6,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,9,9,10,10,10,10,10,11,11,11,11,11,11,13,13,14,13,14,15,14,16,16,17,0
46,13,12,12,11,9,9,7,7,5,5,5,6,6,6,7,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,10,11,12,12,11,12,12,13,14,13,14,14,15,16,16,17,17,17,0
47,14,14,12,11,10,10,7,7,7,4,5,5,7,7,8,7,8,9,9,9,10,10,8,10,10,9,10,10,10,9,11,11,11,12,12,10,12,13,12,14,11,13,14,14,15,13,15,16,16,18,16,17,0
48,12,13,11,10,10,8,8,6,5,5,5,5,5,7,7,8,8,8,9,9,9,9,9,9,10,9,9,9,10,10,10,10,10,11,11,11,11,10,12,12,12,12,13,14,14,14,14,14,15,15,17,17,0
49,12,11,11,9,8,6,6,5,4,4,3,4,5,6,6,7,7,7,7,8,8,8,8,8,8,8,8,10,8,10,8,9,11,9,10,11,10,10,11,11,11,11,13,12,13,13,14,14,14,15,16,16,0
50,13,13,11,10,9,7,6,4,4,4,4,3,5,7,7,7,8,9,9,10,9,9,9,9,10,9,10,10,10,9,9,11,10,10,11,10,12,11,12,13,13,13,13,14,13,14,16,15,16,15,16,19,0
51,13,11,10,10,8,7,8,5,5,4,5,6,7,6,8,9,8,9,9,9,9,10,9,9,9,10,10,10,10,11,11,11,11,11,13,11,11,12,12,13,13,13,14,15,16,15,16,16,16,18,18,19,0
52,13,12,10,10,9,8,7,5,4,4,4,4,6,7,7,8,8,8,9,9,9,9,9,9,9,9,10,10,11,10,11,11,11,11,11,12,11,12,12,13,13,14,14,14,15,15,16,15,17,20,17,19,0
53,13,11,11,10,9,7,6,5,5,4,4,5,6,6,8,8,8,9,9,9,10,9,9,10,10,10,9,11,10,11,10,10,11,11,11,12,12,12,12,12,13,13,14,13,14,14,15,15,16,16,17,17,0
54,12,12,10,9,9,7,7,5,4,5,5,6,6,8,8,9,9,9,9,10,9,10,9,10,10,10,10,10,10,10,11,12,11,12,11,12,13,13,13,14,14,14,15,15,15,15,16,17,17,17,18,17,0
55,11,11,10,9,9,7,5,4,4,4,4,5,5,6,6,7,7,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,14,14,14,14,15,15,15,16,16,17,0
56,12,11,10,9,8,7,6,4,4,3,4,4,5,5,7,8,9,9,9,9,9,9,9,9,9,9,10,10,9,10,10,10,10,11,11,11,12,12,13,13,13,14,14,14,15,15,16,15,16,17,18,18,0
