amp-ave,amp-sd,phase-ave,phase-sd,group
22.148,5.538,2.839,0.144,1
21.426,5.412,2.872,0.147,1
18.596,4.68,-2.528,0.136,1
21.087,5.256,-2.542,0.162,1
21.643,5.575,-1.272,0.156,1
20.116,5.456,-0.592,0.149,1
19.248,5.184,2.13,0.153,1
21.305,6.112,1.836,0.186,1
18.821,5.543,-0.24,0.174,1
18.637,5.259,1.269,0.192,1
21.007,6.506,0.329,0.208,1
18.255,5.469,1.819,0.2,1
18.054,5.516,1.332,0.194,1
20.206,6.022,-2.075,0.167,1
18.435,5.711,-1.191,0.174,1
22.252,6.803,-1.705,0.207,1
20.63,6.118,-2.212,0.18,1
18.248,5.526,-1.553,0.174,1
19.902,5.95,2.488,0.187,1
21.82,6.464,-0.151,0.156,1
20.306,5.651,1.662,2.45,1
20.483,5.671,-2.246,0.189,1
18.057,5.284,1.456,2.592,1
21.431,6.205,2.044,0.203,1
21.402,6.734,-0.164,0.164,1
19.128,6.002,0.631,0.164,1
20.28,5.895,-2.234,0.159,1
20.605,6.108,-1.633,0.154,1
18.648,5.458,-0.84,0.143,1
19.015,5.082,2.704,0.186,1
21.532,5.53,-1.889,0.122,1
20.615,5.469,-0.196,0.163,1
17.226,4.251,-0.141,3.066,1
17.174,4.276,0.078,3.075,1
19.608,5.24,0.138,0.155,1
20.466,5.145,2.376,1.596,1
18.685,4.755,-2.765,0.159,1
20.595,5.267,-1.622,0.169,1
21.384,6.084,0.273,0.131,1
19.248,5.656,0.095,0.127,1
20.574,5.734,-0.592,0.129,1
19.503,5.639,2.147,0.175,1
19.979,5.587,2.738,0.145,1
20.607,6.067,0.973,0.164,1
22.07,6.257,1.466,2.624,1
20.861,6.198,1.277,0.178,1
19.549,5.846,-0.909,0.176,1
22.204,6.297,-2.205,0.171,1
19.392,5.539,2.4,0.189,1
18.92,5.537,1.733,0.192,1
20.778,6.269,0.789,0.19,1
21.306,6.188,2.801,0.179,1
17.331,5.08,-1.536,0.156,1
18.532,5.654,0.202,0.184,1
17.652,5.086,-1.362,0.148,1
16.353,5.026,0.773,0.205,1
21.709,6.068,-1.695,0.157,1
19.644,5.45,0.472,2.998,1
19.123,5.313,1.625,2.448,1
17.21,4.849,-1.717,0.14,1
21.313,6.119,-1.426,0.164,1
20.593,5.768,-2.58,0.165,1
16.125,4.8,0.109,0.169,1
17.747,5.067,1.942,0.194,1
15.645,4.543,2.184,0.214,1
20.742,6.021,-0.711,0.191,1
19.165,5.378,-2.098,0.189,1
17.864,5.422,0.732,0.199,1
18.723,5.604,0.735,0.179,1
19.506,5.34,-2.617,0.137,1
21.777,6.017,1.188,2.762,1
20.227,5.611,-2.105,0.172,1
16.894,5.052,-0.506,0.148,1
18.133,5.526,0.101,0.181,1
18.306,5.559,0.201,0.185,1
19.746,5.893,-2.375,0.168,1
18.125,5.955,0.619,0.24,1
17.729,5.253,1.554,2.385,1
19.944,6.18,-2.817,0.223,1
18.776,6.008,2.117,0.268,1
14.924,4.924,-0.564,0.194,1
20.001,6.253,-1.88,0.195,1
19.61,5.715,2.31,0.21,1
19.574,5.592,-2.01,0.181,1
18.341,5.599,1.003,0.217,1
16.828,5.249,0.494,0.188,1
18.316,5.58,0.824,0.21,1
18.914,5.787,0.711,0.202,1
18.362,5.603,1.162,0.201,1
19.148,6.108,0.412,0.204,1
20.528,6.088,2.737,0.223,1
19.716,6.26,-1.146,0.211,1
18.898,6.289,0.338,0.237,1
21.865,6.608,-2.144,0.174,1
18.99,5.972,1.468,0.244,1
18.68,5.87,1.017,0.218,1
20.04,5.79,-2.681,0.198,1
19.348,5.868,-1.049,0.221,1
19.776,5.755,-2.45,0.185,1
19.061,5.752,1.817,0.238,1
17.954,5.171,1.305,2.6,1
20.05,5.828,-2.271,0.198,1
16.69,5.228,0.782,0.223,1
19.021,5.628,1.82,0.225,1
17.904,5.072,1.192,2.743,1
19.677,5.677,1.453,2.552,1
19.88,5.903,-1.518,0.193,1
17.98,5.249,1.413,2.539,1
18.801,5.72,1.411,0.239,1
19.925,6.01,-1.33,0.216,1
17.065,5.277,0.76,0.211,1
19.92,6.005,-1.367,0.195,1
20.104,5.885,-2.209,0.188,1
19.068,5.769,1.508,0.242,1
20.105,5.704,1.087,2.776,1
20.078,5.707,1.103,2.769,1
20.095,5.785,-2.215,0.226,1
17.065,4.96,2.429,0.226,1
19.041,5.438,2.418,1.385,1
18.404,5.475,1.652,0.233,1
19.707,5.584,-2.356,0.19,1
19.097,5.971,0.199,0.241,1
19.801,5.847,-1.545,0.207,1
18.366,5.584,0.773,0.238,1
16.196,4.977,0.795,0.208,1
18.05,5.121,-1.779,0.209,1
19.79,5.872,-1.105,0.213,1
21.025,6.201,-0.123,0.206,1
20.214,5.694,1.172,2.707,1
19.482,5.803,-0.609,0.198,1
18.498,5.105,-2.404,0.184,1
19.448,5.976,0.068,0.211,1
17.161,4.912,-1.309,0.203,1
18.636,5.098,-2.761,0.188,1
20.014,5.513,-2.617,0.198,1
19.873,5.462,-1.895,0.191,1
16.643,5.026,1.011,0.2,1
18.248,5.183,2.179,0.224,1
19.745,5.529,2.488,0.183,1
17.466,5.028,-1.035,0.194,1
16.501,5.022,0.829,0.222,1
19.189,5.245,2.459,0.195,1
20.293,5.621,-1.837,0.195,1
19.711,5.568,-1.913,0.181,1
17.348,5.98,-0.396,0.248,1
18.749,6.616,0.515,0.274,1
19.701,6.457,-2.434,0.22,1
17.95,5.964,-1.605,0.216,1
19.839,6.502,1.574,2.371,1
18.769,6.536,0.808,0.239,1
20.381,6.661,-1.934,0.232,1
18.881,6.541,0.855,0.224,1
19.334,6.525,2.037,0.268,1
18.236,6.327,-0.895,0.245,1
16.788,5.835,1.18,0.251,1
17.654,5.684,-2.813,0.229,1
21.339,7.394,-1.005,0.252,1
18.805,6.369,1.351,0.273,1
17.64,5.687,-2.464,0.241,1
19.221,6.21,1.311,2.569,1
17.864,5.975,-0.312,2.978,1
16.337,5.696,1.213,0.245,1
20.286,7.042,0.487,0.25,1
21.792,7.199,-1.484,0.233,1
17.896,6.125,0.147,0.242,1
20.233,6.453,-2.139,0.253,1
21.406,6.935,1.549,2.38,1
17.814,5.775,-1.814,0.224,1
16.337,5.657,0.864,0.243,1
17.317,5.56,-2.706,0.207,1
17.181,5.725,-1.036,0.233,1
18.204,6.305,0.459,0.267,1
16.983,5.579,-0.96,0.198,1
18.251,6.258,0.899,0.273,1
19.931,6.514,-2.119,0.217,1
19.897,6.474,-2.509,0.249,1
18.811,6.41,0.762,0.233,1
19.966,6.434,-1.62,2.498,1
19.129,6.663,-0.243,0.229,1
17.312,5.749,1.955,0.235,1
22.454,7.439,-1.983,0.225,1
18.294,6.003,-2.148,0.238,1
19.636,6.603,2.463,0.238,1
21.758,7.419,-1.566,0.234,1
17.975,5.819,1.556,2.473,1
19.59,6.459,2.271,0.278,1
18.859,6.442,1.306,0.238,1
17.994,6.17,-1.376,0.216,1
18.173,6.044,-1.709,0.222,1
19.477,6.313,-2.625,0.237,1
19.409,6.35,-2.334,0.242,1
20.599,7.263,0.618,0.25,1
19.571,6.462,-2.853,0.243,1
20.553,7.342,0.882,0.246,1
19.525,6.467,-1.809,0.218,1
21.504,7.137,2.67,0.232,1
20.469,7.151,0.866,0.227,1
17.162,6.278,-0.122,0.234,1
22.175,7.419,1.441,2.538,1
21.165,7.499,-0.553,0.233,1
19.745,6.791,-1.11,0.243,1
16.737,5.733,1.969,0.269,1
18.735,6.317,2.249,0.268,1
18.119,6.408,1.038,0.278,1
17.014,6.462,0.075,0.267,1
19.985,6.663,1.463,2.515,1
19.467,6.55,2.559,0.235,1
19.206,6.639,-1.332,0.245,1
21.382,7.461,2.226,0.258,1
18.785,6.736,-0.616,0.274,1
21.564,7.244,1.629,2.293,1
19.12,6.424,2.16,0.276,1
18.509,6.255,2.073,0.261,1
20.597,7.335,0.76,0.275,1
21.975,7.206,1.242,2.642,1
19.795,6.656,2.6,0.247,1
17.049,5.809,2.276,0.252,1
18.614,6.262,2.21,0.254,1
19.503,6.582,2.409,0.256,1
18.408,6.49,1.463,0.251,1
20.892,7.388,1.859,0.235,1
17.457,5.933,-1.385,0.203,1
19.524,6.572,-1.659,0.234,1
21.213,7.536,0.327,0.231,1
18.976,6.674,1.594,0.268,1
18.657,6.432,1.758,0.238,1
19.406,6.804,-0.601,0.248,1
20.29,7.287,0.46,0.244,1
17.088,6.168,0.562,0.222,1
17.07,5.979,1.114,0.243,1
18.551,6.581,0.193,0.28,1
20.925,7.341,1.145,0.245,1
19.221,6.861,0.353,0.24,1
18.359,6.091,-2.326,0.214,1
19.389,6.873,-0.056,0.245,1
21.623,7.476,-0.43,0.255,1
19.317,6.731,-0.341,0.222,1
19.142,6.921,0.243,0.228,1
19.103,6.703,1.603,0.231,1
20.52,6.634,-2.6,0.211,1
19.806,6.791,-0.661,0.236,1
19.844,6.769,-1.268,0.222,1
17.39,5.95,2.088,0.276,1
20.585,6.847,-1.832,0.22,1
20.257,6.903,-1.488,0.23,1
20.452,7.175,-0.384,0.221,1
17.266,6.167,0.173,0.269,1
17.671,6.184,-0.553,0.234,1
18.577,6.18,-2.166,0.242,1
19.896,6.7,-1.907,0.227,1
17.245,6.151,-0.041,0.238,1
19.099,6.766,0.384,0.251,1
