group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
stand,25.962,25.962,26.249,27.893,27.893,28.862,28.636,28.636,29.614,28.443,29.428,28.443,28.284,28.443,28.284,27.295,27.295,26.306,26.306,25.318,25.179,24.331,24.331,23.537,22.361,22.361,21.587,20.616,20.881,19.647,18.974,18.682,17.72,16.763,15.811,16.155,15.232,13.928,13,12.083,12.083,11.18,10.296,10.296,8.944,8.062,7.211,6.403,5.657,5.657,4.243,3.606,0,0,0,0,0,0,0,0,0,0,0,0
stand,26.926,27.659,27.659,28.862,28.862,30.083,30.083,30.364,30.364,30.676,31.016,31.016,30.083,30.083,30.083,29.732,29.155,27.857,27.857,27.514,26.926,25.632,25.632,24.698,24.698,24.352,23.087,21.84,20.881,20.616,20.616,19.647,19.416,18.439,17.464,16.279,16.492,15.297,14.318,13.153,13.153,12.166,11.045,10.05,10,9.055,8,7,7,6,5,4.123,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.022,25.239,25.239,26.627,25.239,27.203,26.401,27.019,26.401,27.019,27.019,27.659,26.249,26.907,26.907,26.249,25.495,24.759,25.495,24.759,24.083,23.345,22.672,22.672,22.023,22.023,20.616,19.209,18.601,18.601,18.601,17.804,17.205,16.643,15.811,14.422,14.422,13.892,13.038,13.038,11.662,11.18,9.849,9.849,8.544,8.544,7.616,6.708,6.325,5.385,5.099,4.123,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.083,24.839,24.839,25.495,25.495,26.173,26.173,26.173,26.87,26.87,26.907,26.907,26.907,26.907,26.249,25.495,24.839,24.083,24.083,24.083,23.431,23.345,22.672,21.932,21.213,21.213,19.799,19.105,18.439,18.439,18.439,17.029,17.029,16.401,15,15,13.601,13.601,13.038,11.662,10.817,10.817,8.944,9.434,9.487,6.403,5.831,5.657,8.062,4.472,8.246,4.472,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.854,23.854,24.698,26.077,25.554,26.42,26.42,26.42,26.833,26.833,26.833,26.833,26.833,26.401,26.401,26.401,25.495,24.166,24.166,24.166,24.166,23.259,21.932,22.361,21.471,21.471,19.723,19.723,18.868,17.493,17.493,17.493,16.643,15.264,15.264,14.422,14.422,13.601,12.806,11.402,11.402,10.63,9.22,9.22,9.22,7.81,7.071,6.403,5.657,5,4.243,3.606,0,0,0,0,0,0,0,0,0,0,0,0
stand,25.807,26.401,27.203,27.803,29.206,28.425,29.206,29.069,29.069,29.732,29.732,29,29,29.698,28.284,29,26.87,26.87,26.87,26.87,26.173,25.456,25.456,24.042,24.042,23.345,21.932,21.26,20.616,20.616,19.849,19.209,18.439,17.804,16.401,16.401,16.401,15,14.422,13.038,12.207,12.207,10.817,9.434,9.434,8.062,8.062,7.211,6.325,5.385,5.385,4.472,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.083,24.759,24.759,25.495,26.249,26.249,26.249,27.019,27.803,27.203,27.203,27.203,27.203,27.459,26.627,26.627,26.077,25.239,25.239,23.854,23.854,24.413,22.472,22.204,21.633,22.204,20.616,19.209,18.439,18.439,18.439,18.439,17.029,16.279,16.279,14.866,14.866,14.142,13.454,12.728,12.728,11.314,10.63,10,8.602,8.602,7.81,7.81,5.831,5.831,5.385,4.472,0,0,0,0,0,0,0,0,0,0,0,0
stand,26.401,27.803,27.803,28.601,29.411,29.411,29.682,30.529,30.017,30.529,30.529,30.017,30.017,30.017,29.53,29.53,28.653,28.178,27.295,27.295,26.833,25.942,25.06,25.554,24.187,24.187,23.324,22.472,21.633,20.809,20.248,20.248,19.416,18.601,17.804,17.205,16.401,15.62,14.866,14.213,13.454,12.728,11.314,11.314,9.899,9.899,8.485,7.81,7.81,6.403,5.831,4.472,0,0,0,0,0,0,0,0,0,0,0,0
stand,23.77,24.739,24.739,25.495,25.495,26.476,25.318,27.459,26.306,26.306,27.295,27.166,27.166,27.166,26.173,26.173,25.08,25.08,24.083,24.083,24.083,23.087,22.091,22.091,22.091,21.095,20.224,19.235,19.416,18.248,18.439,17.263,16.279,16.492,14.318,14.318,14.56,13.342,12.369,12.369,11.402,10.44,9.487,9.487,8.944,7.616,7.616,6.708,5.831,5.831,4.472,3.606,0,0,0,0,0,0,0,0,0,0,0,0
stand,24.042,25,25,25.962,25.962,26.926,26.683,27.659,27.659,27.659,27.659,27.459,27.459,26.476,26.306,26.476,26.476,24.331,25.318,24.331,24.331,23.345,23.345,22.561,22.561,21.587,20.616,19.647,18.974,18.682,17.72,17.72,16.763,16.763,15.811,15.811,14.866,13.928,13,12.083,12.083,11.18,10.296,8.944,8.944,8.062,8.062,7.211,5.831,5,5,4.243,0,0,0,0,0,0,0,0,0,0,0,0
stand,27.019,28.425,28.425,30,30,30.806,30.806,30.806,31.623,31.064,32.45,31.906,31.385,31.385,30.887,30.529,29.155,29.155,30.017,28.653,27.295,27.785,26.42,25.554,25.554,26.077,23.854,23.022,23.022,22.204,22.204,21.633,20,19.209,19.209,17.804,17.804,16.401,15.62,14.866,13.454,14.142,12.042,11.314,10.63,9.899,9.22,8.602,7.81,7.211,6.708,5.385,0,0,0,0,0,0,0,0,0,0,0,0
stand,22.361,21.378,24.187,23.195,25.318,24.515,24.515,24.515,25.71,26.683,25.71,25.962,25.71,25,24.042,25.962,24.042,23.77,22.804,23.087,22.136,21.84,21.84,21.587,20.616,19.647,19.416,18.248,18.111,18.248,17.117,16.279,15.133,15.133,14.142,15.133,14.036,13.038,12.042,12.042,11,10,10,8,9,8.062,6.083,6.325,6.325,4.472,4.472,3,0,0,0,0,0,0,0,0,0,0,0,0
stand,20.616,21.541,21.19,21.932,21.471,20.125,22.361,23.707,23.259,22.825,23.707,23.324,23.324,21.954,23.324,22.472,22.472,21.095,21.095,21.095,21.095,19.723,18.868,18.868,18.868,18.868,17.493,17,16.125,15.652,15.652,15.232,14.318,14.318,13,12.083,12.083,11.705,10.77,10.77,9.487,9.487,8.246,8.246,7.28,7.071,6.083,5,5,4,4,3.162,0,0,0,0,0,0,0,0,0,0,0,0
stand,26.173,26.87,28.32,28.284,29.698,29,29,29.732,29.732,30.48,30.48,29.833,29.833,29.833,29.206,29.833,28.425,28.601,27.803,27.803,26.401,25.612,25.612,24.839,24.839,23.431,22.672,21.932,21.213,21.213,19.799,19.799,19.105,18.385,16.971,18.439,16.279,15.62,15,14.213,14.213,12.806,12.207,10.817,10.296,9.434,9.434,8.062,8.062,6.708,6.708,5.099,0,0,0,0,0,0,0,0,0,0,0,0
