group,index#1:,index#2:,index#3:,index#4:,index#5:,index#6:,index#7:,index#8:,index#9:,index#10:,index#11:,index#12:,index#13:,index#14:,index#15:,index#16:,index#17:,index#18:,index#19:,index#20:,index#21:,index#22:,index#23:,index#24:,index#25:,index#26:,index#27:,index#28:,index#29:,index#30:,index#31:,index#32:,index#33:,index#34:,index#35:,index#36:,index#37:,index#38:,index#39:,index#40:,index#41:,index#42:,index#43:,index#44:,index#45:,index#46:,index#47:,index#48:,index#49:,index#50:,index#51:,index#52:,index#53:,index#54:,index#55:,index#56:,index#57:,index#58:,index#59:,index#60:,index#61:,index#62:,index#63:,index#64:
unmammed,23.087,24.021,24.021,24.021,24,25.08,24.083,22.204,24.083,22.361,22.361,21.587,20.616,20.616,19.416,18.248,18.439,17.464,16.279,15.297,14.142,13.153,13.153,12.042,11.045,11,10.05,9.22,8.544,7.616,8.062,7.211,7.81,7.071,7.81,7.81,8.602,8.062,7.616,8.544,8.544,9.22,9.22,9.055,9.055,9,9,9.055,9.055,9.055,9.22,9.22,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,25.239,25.239,25,25,25.495,24.759,23.345,24.042,22.672,22.672,22.023,21.401,20.616,20,19.209,18.439,17.029,17.029,15.62,14.866,14.142,13.454,12.728,12.042,11.402,10.817,9.849,9.849,9.487,10.44,9.22,10.05,10,10,10.05,10.198,10.198,10.44,10.44,10.77,10.77,10.77,10.296,11.18,10.817,10.817,10.817,10.817,11.402,10.63,10.63,11.314,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,23.601,25.495,26.077,27.659,24.698,23.854,25.554,22.204,23.409,19.698,20.125,21.19,20.248,19.925,17.088,18.028,16.763,15.811,15.232,15.232,13.928,13,13.416,11.662,11.662,10.817,9.22,9.899,9.22,8.602,8.062,7.616,8.544,8.246,8.246,8.246,9.055,9,9,9.055,9.055,9.055,9.22,9.22,9.22,9.487,9.487,9.487,9.849,8.944,9.434,9.434,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,25.554,26.077,25.239,26.401,25.612,25.495,25.495,24.042,24.042,22.672,22.672,21.26,21.26,19.849,19.209,18.439,18.439,16.279,16.279,15.556,15.556,14.142,12.728,12.806,11.402,11.402,10.296,9.487,9.22,9.22,9.055,9,9,9.055,10.198,10.44,9.487,9.849,9.849,11.18,10.296,10.817,10.817,10.817,10.817,10.63,11.402,11.314,10.63,11.402,11.402,11.402,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,27.166,26.306,27.459,26.683,27.659,26.249,26.249,25.632,26,24.698,23.259,23.259,22.361,21.024,20.125,20.125,17.889,17.889,16.155,16.155,15.232,14.866,13.601,12.369,12.369,12.166,11,11,10.05,10.198,9.487,9.849,10.296,9.434,10.817,10,10.63,10.63,11.314,10.63,11.314,11.402,11.402,12.207,10.817,11.662,11.662,12.083,11.18,11.705,11.705,11.705,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,25.612,26.249,25.495,25.456,26.173,25.495,24.839,24.207,24.207,23.601,23.601,21.633,20.248,19.416,19.416,19.416,17.205,16.401,16.401,15.62,14.213,13.454,13.601,12.728,11.314,12.042,9.434,10.296,8.944,8.544,8.246,9.055,8.062,8,9.055,9.055,8.246,9.22,8.544,9.487,9.849,9.849,8.944,9.434,9.434,9.434,9.434,9.22,9.22,9.22,9.22,8.485,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,27.203,26.926,26.926,27.295,26.683,27.459,28.443,26.077,26.019,26.019,24,23,22,21.024,21,20,19,18.028,18,16.031,16.031,14.142,14.142,13.153,12.369,12.369,10.77,10.296,10.296,10,9.22,8.485,9.22,8.602,9.434,8.944,8.944,8.544,8.544,9.487,9.22,9.22,9.22,9.055,9.055,9,9,9,9.055,8.062,8.062,8.246,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,27.313,26.833,26.401,27.295,26.42,26.077,26.627,25.807,25,25,24.207,23.431,22.804,21.401,20.616,20,18.601,18.028,17.205,17.205,16.643,15.264,14.765,13.416,13,13,11.402,11.18,10.198,10.05,11,10.05,10.05,9.487,9.487,9.487,9.849,9.849,9.434,9.434,9.434,10,9.22,9.22,9.899,9.899,9.22,9.22,9.22,8.602,8.602,8.944,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,25.239,26.926,26.627,27.803,27.203,26.249,26.173,26.173,25.456,24.759,24.083,23.345,22.672,21.26,21.26,20.518,19.105,17.692,17.692,16.971,16.279,15.62,14.866,14.213,13.454,13.601,11.18,11.18,10.77,10.44,10.198,11.045,10.05,10,10,10.05,9.055,9.22,9.22,9.487,9.487,9.849,9.849,9.849,8.944,9.434,9.434,10,9.434,9.22,9.22,9.22,0,0,0,0,0,0,0,0,0,0,0,0
unmammed,26.87,28.32,26.907,28.425,27.803,27.203,26.627,26.926,25.554,25.554,24.698,24.187,24.187,22.825,22.825,21.471,20.591,19.235,19.235,18.358,17.493,16.125,15.811,15,13.601,14.213,12.728,12.042,12.042,11.402,10.817,10.296,10.296,9.849,10.77,10.44,10.198,10.198,10.05,10.05,9.055,10,9,10,10.05,9.055,9.055,9.055,9.22,8.544,8.544,8.544,0,0,0,0,0,0,0,0,0,0,0,0
