no-people,people
22.148,17.19
21.426,17.784
18.596,19.963
21.087,20.921
21.643,20.247
20.116,18.866
19.248,16.096
21.305,18.969
18.821,18.148
18.637,20.501
21.007,18.362
18.255,20.173
18.054,17.406
20.206,18.387
18.435,21.269
22.252,18.925
20.63,18.101
18.248,18.844
19.902,18.43
21.82,17.928
20.306,19.604
20.483,18.468
18.057,20.321
21.431,18.754
21.402,18.454
19.128,17.102
20.28,18.046
20.605,14.673
18.648,18.206
19.015,16.734
21.532,17.442
20.615,14.072
17.226,20.852
17.174,16.66
19.608,18.389
20.466,19.159
18.685,17.8
20.595,20.985
21.384,19.39
19.248,18.859
20.574,18.188
19.503,20.756
19.979,18.518
20.607,17.969
22.07,20.207
20.861,18.137
19.549,20.919
22.204,18.261
19.392,19.733
18.92,18.422
20.778,20.985
21.306,18.023
17.331,18.999
18.532,19.009
17.652,20.856
16.353,20.836
21.709,20.198
19.644,18.508
19.123,15.883
17.21,18.226
21.313,20.237
20.593,21.195
16.125,21.229
17.747,15.676
15.645,17.668
20.742,17.822
19.165,21.319
17.864,17.41
18.723,16.268
19.506,17.53
21.777,17.856
20.227,19.074
16.894,19.558
18.133,17.866
18.306,18.648
19.746,19.905
18.125,20.818
17.729,19.678
19.944,17.027
18.776,19.709
14.924,16.537
20.001,17.589
19.61,20.746
19.574,19.264
18.341,17.234
16.828,20.174
18.316,19.458
18.914,18.583
18.362,19.209
19.148,18.676
20.528,19.455
19.716,18.205
18.898,19.878
21.865,18.564
18.99,19.203
18.68,20.203
20.04,21.132
19.348,20.008
19.776,20.221
19.061,17.173
17.954,17.23
20.05,18.876
16.69,22.742
19.021,21.829
17.904,17.772
19.677,18.483
19.88,21.525
17.98,18.486
18.801,16.934
19.925,18.672
17.065,17.256
19.92,19.081
20.104,19.925
19.068,21.329
20.105,21.289
20.078,21.99
20.095,17.33
17.065,19.846
19.041,19.322
18.404,19.69
19.707,20.485
19.097,16.611
19.801,21.434
18.366,21.319
16.196,21.33
18.05,20.296
19.79,21.637
21.025,16.987
20.214,20.009
19.482,20.552
18.498,20.92
19.448,21.211
17.161,21.362
18.636,21.852
20.014,22.179
19.873,17.785
16.643,20.563
18.248,21.762
19.745,19.508
17.466,20.205
16.501,17.64
19.189,18.536
20.293,20.947
19.711,18.068
17.348,19.124
18.749,20.881
19.701,19.127
17.95,19.254
19.839,21.551
18.769,19.568
20.381,19.237
18.881,19.005
19.334,17.674
18.236,20.208
16.788,20.828
17.654,19.735
21.339,18.123
18.805,18.731
17.64,17.235
19.221,18.901
17.864,17.435
16.337,18.856
20.286,18.876
21.792,20.291
17.896,17.423
20.233,17.349
21.406,17.185
17.814,19.265
16.337,18.586
17.317,15.915
17.181,17.538
18.204,18.874
16.983,20.202
18.251,18.524
19.931,18.861
19.897,19.269
18.811,19.047
19.966,19.645
19.129,20.728
17.312,19.825
22.454,18.386
18.294,21.61
19.636,18.906
21.758,18.734
17.975,21.351
19.59,18.284
18.859,19.753
17.994,19.925
18.173,18.419
19.477,21.097
19.409,19.165
20.599,18.066
19.571,20.267
